date,url,headline,author ,source,potential_reach,keywords
11/13/2020,https://coveteur.com/2020/11/13/best-retinoid-products/,The 16 Most Effective Retinoid Products According to Beauty Industry Experts,Hannah Baxter,The Coveteur,240144,"Alastin, SkinCeuticals, Skinbetter Science"
11/13/2020,https://www.shape.com/lifestyle/beauty-style/buying-dermatologist-recommended-skin-care-products,Should You Buy Your Skin-Care Products at the Derm?,Erin Reimel,Shape Magazine,5266399,"Alastin, SkinBetter Science "
10/14/2020,https://www.instyle.com/beauty/dark-circles-under-eyes-vitamin-c,Can Vitamin C Actually Get Rid of Your Dark Under Eye Circles?,Kayla Greaves,InStyle,4125694,"Alastin, SkinCeuticals"
10/5/2020,https://www.byrdie.com/best-skincare-brands-5078942,We Narrowed Down the 28 Best Skincare Brands Out There,,Byrdie (USA),11181438,"Alastin, SkinCeuticals"
9/23/2020,https://www.realsimple.com/beauty-fashion/skincare/summer-skin-damage,8 Common Signs of Summer Skin Damage—and How to Reverse Them,Kristin Granero,Real Simple,6427031,Alastin
9/10/2020,https://www.realsimple.com/beauty-fashion/skincare/dermatologist-skincare-routine,"We Asked 12 Dermatologists to Share Their Exact Skincare Routines, Here's What They Said",Kristin Granero;Kristin Granero,Real Simple,6427031,"Alastin, SkinCeuticals, Skinbetter Science, ZO Skin Health, Revision Skincare"
8/27/2020,https://www.byrdie.com/forehead-wrinkles-5075800,"How to Prevent and Treat Forehead Wrinkles, According to Dermatologists",,Byrdie (USA),10825589,Alastin
8/6/2020,https://www.allure.com/gallery/best-creams-serums-mature-skin-dermatologist-recommendations,"The 12 Best Creams and Serums for Mature Skin, According to Dermatologists",,Allure Magazine,8230273,"Alastin, SkinCeuticals, Skinbetter Science"
8/6/2020,https://www.shape.com/lifestyle/beauty-style/best-eye-cream,"The 10 Best Eye Creams That Firm, De-Puff, and Brighten Dark Circles",Melanie Rud,Shape Magazine,6162412,"Alastin, SkinCeuticals"
7/20/2020,https://www.popsugar.com/beauty/dermarolling-at-home-safety-tips-47624830,"Here's How to Safely Dermaroll at Home, According to Skin Experts",Lauren Harano,Popsugar,12677978,Alastin
7/16/2020,https://www.allure.com/story/ali-krieger-ashlyn-harris-favorite-beauty-products,Ali Krieger and Ashlyn Harris Reveal Their Go-To Beauty Products,,Allure Magazine,8120066,"Alastin, Skinbetter Science"
