Database,Keyword,Seed keyword,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,SERP Features,Trend,Click potential,Competitors
us,cholesterol levels,cholesterol,,74000,92.71,1.48,0.19,131000000,"Adwords Top, People Also Ask, Site Links, Image Pack","0.67,0.55,0.67,0.67,0.55,0.30,0.45,0.67,0.67,0.67,0.82,1.00",20,"""Cholesterol Levels: What You Need to Know: MedlinePlus"":""https://medlineplus.gov/cholesterollevelswhatyouneedtoknow.html""
""Understanding Cholesterol Levels: LDL, HDL, Total ... - WebMD"":""https://www.webmd.com/cholesterol-management/guide/understanding-numbers""
""What Are the Recommended Cholesterol Levels by Age?"":""https://www.healthline.com/health/high-cholesterol/levels-by-age""
""What Your Cholesterol Levels Mean | American Heart ..."":""https://www.heart.org/en/health-topics/cholesterol/about-cholesterol/what-your-cholesterol-levels-mean""
""Cholesterol levels by age: Differences and recommendations"":""https://www.medicalnewstoday.com/articles/315900""
""Cholesterol: Types, Tests, Treatments, Prevention"":""https://my.clevelandclinic.org/health/articles/11920-cholesterol-numbers-what-do-they-mean""
""Cholesterol level: Can it be too low? - Mayo Clinic"":""https://www.mayoclinic.org/diseases-conditions/high-blood-cholesterol/expert-answers/cholesterol-level/faq-20057952""
""High cholesterol - Symptoms and causes - Mayo Clinic"":""https://www.mayoclinic.org/diseases-conditions/high-blood-cholesterol/symptoms-causes/syc-20350800""
""Cholesterol - HealthyWomen"":""https://www.healthywomen.org/condition/cholesterol""
""LDL & HDL: Good & Bad Cholesterol | cdc.gov"":""https://www.cdc.gov/cholesterol/ldl_hdl.htm"""
us,lower cholesterol,cholesterol,,27100,90.75,1.42,0.47,101000000,People Also Ask,"0.82,0.82,1.00,1.00,0.67,0.45,0.55,0.82,0.82,1.00,1.00,1.00",75,"""Top 5 lifestyle changes to improve your cholesterol - Mayo Clinic"":""https://www.mayoclinic.org/diseases-conditions/high-blood-cholesterol/in-depth/reduce-cholesterol/art-20045935""
""11 foods that lower cholesterol - Harvard Health"":""https://www.health.harvard.edu/heart-health/11-foods-that-lower-cholesterol""
""Lower Your Cholesterol in 11 Easy Steps - WebMD"":""https://www.webmd.com/cholesterol-management/features/11-tips-to-cut-your-cholesterol-fast""
""10 Natural Ways to Lower Your Cholesterol Levels - Healthline"":""https://www.healthline.com/nutrition/how-to-lower-cholesterol""
""How to lower cholesterol naturally: 10 things you can do every ..."":""https://www.healthpartners.com/blog/how-to-lower-cholesterol-naturally/""
""How to Lower Cholesterol: MedlinePlus"":""https://medlineplus.gov/howtolowercholesterol.html""
""How to Lower Cholesterol with Diet: MedlinePlus"":""https://medlineplus.gov/howtolowercholesterolwithdiet.html""
""How to lower cholesterol quickly: Tips and suggestions"":""https://www.medicalnewstoday.com/articles/how-to-lower-cholesterol-quickly""
""Cooking to Lower Cholesterol | American Heart Association"":""https://www.heart.org/en/health-topics/cholesterol/prevention-and-treatment-of-high-cholesterol-hyperlipidemia/cooking-to-lower-cholesterol""
""Your Guide to Lowering Your Cholesterol With TLC - National ..."":""https://www.nhlbi.nih.gov/files/docs/public/heart/chol_tlc.pdf"""
us,how to lower cholesterol,cholesterol,,60500,89.98,1.24,0.49,140000000,People Also Ask,"0.67,0.67,1.00,0.82,0.55,0.37,0.55,0.82,0.82,1.00,0.82,0.67",90,"""Top 5 lifestyle changes to improve your cholesterol - Mayo Clinic"":""https://www.mayoclinic.org/diseases-conditions/high-blood-cholesterol/in-depth/reduce-cholesterol/art-20045935""
""How to lower cholesterol naturally: 10 things you can do every ..."":""https://www.healthpartners.com/blog/how-to-lower-cholesterol-naturally/""
""11 foods that lower cholesterol - Harvard Health"":""https://www.health.harvard.edu/heart-health/11-foods-that-lower-cholesterol""
""Lower Your Cholesterol in 11 Easy Steps - WebMD"":""https://www.webmd.com/cholesterol-management/features/11-tips-to-cut-your-cholesterol-fast""
""How to Lower Cholesterol: MedlinePlus"":""https://medlineplus.gov/howtolowercholesterol.html""
""How to Lower Cholesterol with Diet: MedlinePlus"":""https://medlineplus.gov/howtolowercholesterolwithdiet.html""
""10 Natural Ways to Lower Your Cholesterol Levels - Healthline"":""https://www.healthline.com/nutrition/how-to-lower-cholesterol""
""How to lower cholesterol quickly: Tips and suggestions"":""https://www.medicalnewstoday.com/articles/how-to-lower-cholesterol-quickly""
""How to lower cholesterol naturally without medication"":""https://www.medicalnewstoday.com/articles/325113""
""Your Guide to Lowering Your Cholesterol With TLC - National ..."":""https://www.nhlbi.nih.gov/files/docs/public/heart/chol_tlc.pdf"""
us,hdl vs ldl,ldl,,22200,87.41,5.67,0.02,0,"Carousel, Featured Snippet, People Also Ask, Site Links","0.82,0.67,0.82,1.00,0.67,0.55,0.55,0.67,0.82,0.82,0.82,0.82",20,"""HDL (Good), LDL (Bad) Cholesterol and Triglycerides ..."":""https://www.heart.org/en/health-topics/cholesterol/hdl-good-ldl-bad-cholesterol-and-triglycerides""
""Cholesterol: Understanding HDL vs. LDL - Harvard Health ..."":""https://www.health.harvard.edu/blog/understanding-cholesterol-hdl-vs-ldl-2018041213608""
""LDL & HDL: Good & Bad Cholesterol | cdc.gov"":""https://www.cdc.gov/cholesterol/ldl_hdl.htm""
""Understanding Cholesterol Levels: LDL, HDL, Total ... - WebMD"":""https://www.webmd.com/cholesterol-management/guide/understanding-numbers""
""Cholesterol Levels: What You Need to Know: MedlinePlus"":""https://medlineplus.gov/cholesterollevelswhatyouneedtoknow.html""
""HDL vs. LDL cholesterol: Differences, ranges, and ratios"":""https://www.medicalnewstoday.com/articles/321484""
""HDL vs. LDL Cholesterol: What's the Difference Between Them?"":""https://www.medicinenet.com/hdl_vs_ldl_cholesterol_differences/article.htm""
""HDL cholesterol: How to boost your 'good' cholesterol - Mayo ..."":""https://www.mayoclinic.org/diseases-conditions/high-blood-cholesterol/in-depth/hdl-cholesterol/art-20046388""
""HDL vs LDL Cholesterol: What's the Difference?"":""https://www.lanermc.org/community/lane-health-blog/hdl-vs-ldl-cholesterol-whats-the-difference""
""Total Cholesterol/HDL Cholesterol Ratio vs LDL Cholesterol ..."":""https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/752318"""
us,is 202 total cholesterol bad,cholesterol,,90,82.58,0.00,0.00,6160000,"Featured Snippet, People Also Ask, Site Links","0.14,0.14,0.14,0.43,0.29,0.14,0.14,0.29,0.29,1.00,0.14,0.14",20,"""Borderline Cholesterol: What It Is and What to Do About It"":""https://www.webmd.com/cholesterol-management/guide/what-is-borderline-cholesterol""
""Cholesterol: Types, Tests, Treatments, Prevention"":""https://my.clevelandclinic.org/health/articles/11920-cholesterol-numbers-what-do-they-mean""
""Why Cholesterol Matters for Women | Johns Hopkins Medicine"":""https://www.hopkinsmedicine.org/health/wellness-and-prevention/why-cholesterol-matters-for-women""
""Cholesterol numbers are in! Here's what you should know ..."":""https://hcatodayblog.com/2018/01/22/cholesterol-numbers-heres-know/""
""High Blood Cholesterol What you need to know - National ..."":""https://www.nhlbi.nih.gov/files/docs/public/heart/wyntk.pdf""
""Lipid Panel with Total Cholesterol: HDL Ratio - Health ..."":""https://www.urmc.rochester.edu/encyclopedia/content.aspx?contenttypeid=167&contentid=lipid_panel_hdl_ratio""
""Cholesterol Level Charts: Normal, High, Low Levels & Results"":""https://www.emedicinehealth.com/understanding_your_cholesterol_level/article_em.htm""
""What Are the Recommended Cholesterol Levels by Age?"":""https://www.healthline.com/health/high-cholesterol/levels-by-age""
""What Is Total Cholesterol and What Does It Mean?"":""https://www.verywellhealth.com/what-is-a-total-cholesterol-level-698073""
""Cholesterol - HealthyWomen"":""https://www.healthywomen.org/condition/cholesterol"""
us,bad cholesterol triglycerides,cholesterol,,90,91.69,0.00,0.06,2530000,"Site Links, People Also Ask","0.14,0.29,0.14,0.14,0.71,1.00,0.14,0.14,0.14,0.29,0.14,0.14",20,"""HDL (Good), LDL (Bad) Cholesterol and Triglycerides ..."":""https://www.heart.org/en/health-topics/cholesterol/hdl-good-ldl-bad-cholesterol-and-triglycerides""
""Triglycerides: Why do they matter? - Mayo Clinic"":""https://www.mayoclinic.org/diseases-conditions/high-blood-cholesterol/in-depth/triglycerides/art-20048186""
""Understanding Cholesterol Levels: LDL, HDL, Total ... - WebMD"":""https://www.webmd.com/cholesterol-management/guide/understanding-numbers""
""High Triglyceride Levels: Symptoms, Causes, Tests, & Normal ..."":""https://www.webmd.com/cholesterol-management/high-triglycerides-what-you-need-to-know""
""Cholesterol Levels: What You Need to Know: MedlinePlus"":""https://medlineplus.gov/cholesterollevelswhatyouneedtoknow.html""
""Triglycerides and High Cholesterol: Causes, Risks & Prevention"":""https://my.clevelandclinic.org/health/articles/11117-triglycerides""
""Triglycerides & Heart Health: Lowering Levels, Guidelines ..."":""https://my.clevelandclinic.org/health/articles/17583-triglycerides--heart-health""
""The Truth About Triglycerides - Health Encyclopedia ..."":""https://www.urmc.rochester.edu/encyclopedia/content.aspx?contenttypeid=56&contentid=2967""
""High Blood Cholesterol and Triglycerides (Lipid Disorder)"":""https://www.healthline.com/health/high-cholesterol/lipid-disorder""
""Making sense of cholesterol tests - Harvard Health"":""https://www.health.harvard.edu/heart-health/making-sense-of-cholesterol-tests"""
us,good and bad cholesterol,cholesterol,,2400,88.00,0.87,0.13,117000000,"Site Links, People Also Ask, Image Pack","0.83,0.83,1.00,1.00,0.83,0.45,0.55,0.83,0.83,0.83,1.00,1.00",20,"""LDL & HDL: Good & Bad Cholesterol | cdc.gov"":""https://www.cdc.gov/cholesterol/ldl_hdl.htm""
""HDL (Good), LDL (Bad) Cholesterol and Triglycerides ..."":""https://www.heart.org/en/health-topics/cholesterol/hdl-good-ldl-bad-cholesterol-and-triglycerides""
""Understanding Cholesterol Levels: LDL, HDL, Total ... - WebMD"":""https://www.webmd.com/cholesterol-management/guide/understanding-numbers""
""Cholesterol Levels: What You Need to Know: MedlinePlus"":""https://medlineplus.gov/cholesterollevelswhatyouneedtoknow.html""
""Cholesterol Good and Bad - MedlinePlus"":""https://medlineplus.gov/medlineplus-videos/cholesterol-good-and-bad/""
""HDL cholesterol: How to boost your 'good' cholesterol - Mayo ..."":""https://www.mayoclinic.org/diseases-conditions/high-blood-cholesterol/in-depth/hdl-cholesterol/art-20046388""
""What Is the Difference Between Good and Bad Cholesterol ..."":""https://www.keckmedicine.org/what-is-the-difference-between-good-and-bad-cholesterol/""
""HDL vs. LDL Cholesterol: What's the Difference Between Them?"":""https://www.medicinenet.com/hdl_vs_ldl_cholesterol_differences/article.htm""
""Good Cholesterol vs. Bad Cholesterol: What You Need to Know"":""https://www.heartngmc.org/good-cholesterol-vs.-bad-cholesterol-what-you-need-to-know""
""HDL vs. LDL Cholesterol: What's the Difference? - Healthline"":""https://www.healthline.com/health/hdl-vs-ldl-cholesterol"""
us,how to lower high cholesterol,cholesterol,,1600,92.73,1.22,0.48,108000000,People Also Ask,"0.79,0.67,0.79,0.79,0.67,0.54,0.54,0.67,0.67,0.79,0.79,1.00",90,"""Top 5 lifestyle changes to improve your cholesterol - Mayo Clinic"":""https://www.mayoclinic.org/diseases-conditions/high-blood-cholesterol/in-depth/reduce-cholesterol/art-20045935""
""How to lower cholesterol naturally: 10 things you can do every ..."":""https://www.healthpartners.com/blog/how-to-lower-cholesterol-naturally/""
""11 foods that lower cholesterol - Harvard Health"":""https://www.health.harvard.edu/heart-health/11-foods-that-lower-cholesterol""
""Lower Your Cholesterol in 11 Easy Steps - WebMD"":""https://www.webmd.com/cholesterol-management/features/11-tips-to-cut-your-cholesterol-fast""
""10 Natural Ways to Lower Your Cholesterol Levels - Healthline"":""https://www.healthline.com/nutrition/how-to-lower-cholesterol""
""13 Cholesterol-Lowering Foods to Add to Your Diet Today"":""https://www.healthline.com/nutrition/13-foods-that-lower-cholesterol-levels""
""How to lower cholesterol quickly: Tips and suggestions"":""https://www.medicalnewstoday.com/articles/how-to-lower-cholesterol-quickly""
""How to Lower Cholesterol: MedlinePlus"":""https://medlineplus.gov/howtolowercholesterol.html""
""How to Lower Cholesterol with Diet: MedlinePlus"":""https://medlineplus.gov/howtolowercholesterolwithdiet.html""
""Your Guide to Lowering Your Cholesterol With TLC - National ..."":""https://www.nhlbi.nih.gov/files/docs/public/heart/chol_tlc.pdf"""
us,does smoking increase bad cholesterol,cholesterol,,70,86.98,0.00,0.21,14300000,"Featured Snippet, People Also Ask","0.00,0.00,0.00,0.00,0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.67",100,"""Will Smoking Raise My Cholesterol? - GoodRx"":""https://www.goodrx.com/blog/does-smoking-cause-high-cholesterol/""
""How Smoking Affects Your Cholesterol and Heart"":""https://www.verywellhealth.com/how-does-smoking-affect-your-cholesterol-and-heart-698284""
""Smoking with High Cholesterol - Healthgrades"":""https://www.healthgrades.com/right-care/cholesterol/the-dangers-of-smoking-with-high-cholesterol""
""Does Smoking Affect Cholesterol? | Everyday Health"":""https://www.everydayhealth.com/high-cholesterol/living-with/the-cholesterol-smoking-connection/""
""Quitting smoking improves cholesterol | Reuters"":""https://www.reuters.com/article/us-smoking-cholesterol/quitting-smoking-improves-cholesterol-idUSTRE6BM45L20101223""
""Effects of Smoking and Smoking Cessation on Lipids and ..."":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3110741/""
""The combined effect of smoking and coffee drinking on LDL ..."":""https://pubmed.ncbi.nlm.nih.gov/221133/""
""Quit smoking - HEART UK"":""https://www.heartuk.org.uk/healthy-living/quit-smoking""
""How does smoking affect cholesterol levels? | Impact Of ..."":""https://www.sharecare.com/health/impact-nicotine-addiction-on-body/how-smoking-affect-cholesterol-levels""
""Smoking and Heart Disease and Stroke | Overviews of ... - CDC"":""https://www.cdc.gov/tobacco/campaign/tips/diseases/heart-disease-stroke.html"""
us,can you lower bad cholesterol,cholesterol,,90,92.82,1.62,0.26,58100000,People Also Ask,"0.22,0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.56,0.56,1.00",90,"""Top 5 lifestyle changes to improve your cholesterol - Mayo Clinic"":""https://www.mayoclinic.org/diseases-conditions/high-blood-cholesterol/in-depth/reduce-cholesterol/art-20045935""
""Lower Your Cholesterol in 11 Easy Steps - WebMD"":""https://www.webmd.com/cholesterol-management/features/11-tips-to-cut-your-cholesterol-fast""
""Foods To Help Lower LDL ('Bad') Cholesterol - WebMD"":""https://www.webmd.com/cholesterol-management/ss/slideshow-cholesterol-lowering-foods""
""How to lower cholesterol naturally: 10 things you can do every ..."":""https://www.healthpartners.com/blog/how-to-lower-cholesterol-naturally/""
""11 foods that lower cholesterol - Harvard Health"":""https://www.health.harvard.edu/heart-health/11-foods-that-lower-cholesterol""
""How to lower your cholesterol without drugs - Harvard Health"":""https://www.health.harvard.edu/heart-health/how-to-lower-your-cholesterol-without-drugs""
""10 Natural Ways to Lower Your Cholesterol Levels - Healthline"":""https://www.healthline.com/nutrition/how-to-lower-cholesterol""
""How Long Does It Take to Lower Cholesterol? - Healthline"":""https://www.healthline.com/health/high-cholesterol/how-long-does-it-take-to-lower""
""How to lower cholesterol naturally without medication"":""https://www.medicalnewstoday.com/articles/325113""
""How to lower cholesterol quickly: Tips and suggestions"":""https://www.medicalnewstoday.com/articles/how-to-lower-cholesterol-quickly"""
