Database,Keyword,Seed keyword,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,SERP Features,Trend,Click potential,Competitors
us,statin intensity chart,statins,,6600,77.62,1.84,0.00,253000,"Image Pack, People Also Ask","0.67,0.55,0.82,0.67,0.67,0.67,0.67,0.67,0.67,0.82,1.00,1.00",90,"""Table 1, Statin Dosing and ACC/AHA Classification of Intensity ..."":""https://www.ncbi.nlm.nih.gov/books/NBK396417/table/ch1.t1/""
""Table 5. Statin Dose Intensity and Equivalency Chart*"":""http://www.mqic.org/pdf/UMHS_Statin_Dose_Intensity_and_Equivalency_Chart.pdf""
""Cholesterol guidelines - Straight Healthcare"":""https://www.straighthealthcare.com/cholesterol-treatment-guidelines.html""
""ACC/AHA Release Updated Guideline on the Treatment of ..."":""https://www.aafp.org/afp/2014/0815/p260.html""
""Statin Dose Comparison - Epocrates"":""https://www.epocrates.com/sites/default/files/res/dacc/2017/StatinDoseTablePL1703.pdf""
""Considerations in the Approach to Appropriate Statin Selection"":""https://www.uspharmacist.com/article/considerations-in-the-approach-to-appropriate-statin-selection""
""Major Recommendations for Statin Therapy for Atherosclerotic ..."":""http://www.mplsheart.com/wp-content/uploads/2014/10/S413160-20871-MHI-Statin-Therapy-Algorithm-4.pdf""
""High‐Intensity Versus Non‐High‐Intensity Statins in Patients ..."":""https://www.ahajournals.org/doi/full/10.1161/JAHA.118.009517""
""Intensity of Lipid Lowering With Statin Therapy in Patients With ..."":""https://www.ahajournals.org/doi/full/10.1161/JAHA.119.013229""
""Appendix A: Grouping of statins | Cardiovascular disease: risk ..."":""https://www.nice.org.uk/guidance/cg181/chapter/Appendix-A-Grouping-of-statins"""
us,human pcsk9 elisa,pcsk9,,20,60.98,0.00,0.00,0,"Adwords Top, Reviews, Adwords Bottom","0.20,0.20,0.00,0.00,0.40,0.40,0.60,0.00,0.60,0.00,1.00,0.20",90,"""Human Proprotein Convertase 9/PCSK9 Quantikine ELISA Kit ..."":""https://www.rndsystems.com/products/human-proprotein-convertase-9-pcsk9-quantikine-elisa-kit_dpc900""
""LEGEND MAX Human PCSK9 ELISA Kit with Pre-coated Plates"":""https://www.biolegend.com/en-us/products/legend-max-human-pcsk9-elisa-kit-with-pre-coated-plates-12445""
""Human PCSK9 ELISA Kit (ab209884) | Abcam"":""https://www.abcam.com/human-pcsk9-elisa-kit-ab209884.html""
""PCSK9 Human ELISA | BioVendor"":""https://www.biovendor.com/pcsk9-human-elisa""
""STA-385-human-pcsk9-elisa-kit.pdf - Cell Biolabs, Inc."":""https://www.cellbiolabs.com/sites/default/files/STA-385-human-pcsk9-elisa-kit.pdf""
""PCSK9 ELISA Kit - Cell Biolabs, Inc."":""https://www.cellbiolabs.com/human-pcsk9-elisa-kit""
""PCSK9 ELISA Kits | Biocompare"":""http://www.biocompare.com/pfu/110627/soids/64725/ELISA_Kit/PCSK9""
""Human PCSK9 ELISA Kits | Biocompare"":""http://www.biocompare.com/pfu/110627/soids/2-3681-64725/ELISA_Kit/ELISA_Human_PCSK9""
""Human PCSK9 ELISA Kit-Q8NBP7.3 - MyBioSource"":""https://www.mybiosource.com/human-elisa-kits/pcsk9/177165""
""Human Proprotein Convertase 9/PCSK9 Quantikine ELISA Kit ..."":""https://www.bio-techne.com/p/elisa-kits/human-proprotein-convertase-9-pcsk9-quantikine-elisa-kit_dpc900"""
us,pcsk9 억제제,pcsk9,,30,49.04,0.00,0.00,63,Adwords Top,"1.00,0.00,0.44,0.11,1.00,0.22,0.11,0.78,0.11,0.00,0.00,0.00",75,"""새로운 콜레스테롤 저하 약제, PCSK9 억제제 : 네이버 블로그"":""https://m.blog.naver.com/i-doctor/221463257815""
""PCSK9 억제제 레파타, 급여 훈풍타고 프랄런트 앞서나 - 메디칼 ..."":""https://www.monews.co.kr/news/articleView.html?idxno=207544""
""[초점]수요 늘수록 심화되는 PCSK9 억제제의 비용 ... - 청년의사"":""http://www.docdocdoc.co.kr/news/articleView.html?idxno=1067537""
""이상지질혈증약 PCSK9 억제제 레파타 환자부담 ... - 메디칼타임즈"":""https://www.medicaltimes.com/Users/News/NewsView.html?ID=1131166""
""THE MOST 모바일 사이트, 이상지질혈증의 새로운 보루 PCSK9 ..."":""http://m.mostonline.co.kr/news/articleView.html?idxno=95643""
""스타틴으로 조절 못하면…대안은 PCSK9 저해제뿐 - 히트뉴스"":""http://www.hitnews.co.kr/news/articleView.html?idxno=6074""
""PCSK9 억제제 레파타, 고콜레스테롤혈증 등 급여 확대 - 히트뉴스"":""http://www.hitnews.co.kr/news/articleView.html?idxno=13926""
""PCSK9 억제제의 가치는 명백하다 - 의약뉴스"":""http://www.newsmp.com/news/articleView.html?idxno=178902""
""암젠코리아 PCSK9 억제제 '레파타' ① - 의학신문"":""http://www.bosa.co.kr/news/articleView.html?idxno=2135116""
""PCSK9억제제 '프랄런트®' 국내 최초허가 - eMD Medical News"":""https://www.mdon.co.kr/news/article.html?no=12238"""
us,buy ezetimibe,ezetimibe,,70,66.49,2.30,1.00,326000,People Also Ask,"0.29,0.14,0.29,0.14,0.00,0.14,0.14,1.00,0.14,0.14,0.14,0.14",75,"""Ezetimibe Prices, Coupons & Savings Tips - GoodRx"":""https://www.goodrx.com/ezetimibe""
""Ezetimibe 10mg Tablets (Generic Zetia) - HealthWarehouse.com"":""https://www.healthwarehouse.com/ezetimibe-10mg-tablets-generic-zetia.html""
""Get Ezetimibe Online Prescription. Request Generic Ezetimibe ..."":""https://www.pushhealth.com/drugs/ezetimibe""
""Buy Ezetimibe (Generic Zetia) Online | Blink Health"":""https://www.blinkhealth.com/ezetimibe""
""Ezetimibe Oral tablet - CVS Pharmacy"":""https://www.cvs.com/drug/ezetimibe""
""Ezetimibe Coupons. Compare Prescription Prices and Print ..."":""https://www.webmd.com/rx/drug-prices/ezetimibe""
""Buy Zetia (Ezetimibe) Brand & Generic | Canadian Pharmacy"":""https://www.rxconnected.com/drug/zetia""
""Ezetimibe | ≥99%(HPLC) | Selleck | LDL modulator QCFile"":""https://www.selleckchem.com/products/Ezetimibe(Zetia).html""
""Buy Ezetimibe Online, Zetia Coupon & Prices | MedsEngage"":""https://www.medsengage.com/products/zetia.html""
""Ezetimibe (zetia) Price Comparisons - Discounts, Cost ..."":""https://www.pharmacychecker.com/ezetimibe/"""
us,ezetimibe coupon,ezetimibe,,110,69.45,2.38,0.79,62,People Also Ask,"0.53,0.65,1.00,1.00,0.82,0.65,0.53,0.53,0.65,0.65,0.65,1.00",75,"""Ezetimibe Prices, Coupons & Savings Tips - GoodRx"":""https://www.goodrx.com/ezetimibe""
""Ezetimibe Prescription Savings & Discounts | WellRx"":""https://www.wellrx.com/ezetimibe/coupon/""
""Zetia Generic: Ezetimibe Coupon 2021 - Up to 80% Discount"":""https://www.singlecare.com/prescription/ezetimibe""
""Ezetimibe Coupons. Compare Prescription Prices and Print ..."":""https://www.webmd.com/rx/drug-prices/ezetimibe""
""Ezetimibe Coupons, Discounts & Prices 2020 | USARx"":""https://www.usarx.com/drug/ezetimibe""
""Ezetimibe Coupons - RxGo.com"":""https://www.rxgo.com/drug/ezetimibe-coupon""
""Ezetimibe Prices, Coupons & Patient Assistance Programs ..."":""https://www.drugs.com/price-guide/ezetimibe""
""Ezetimibe Coupon - Pharmacy Discounts Up To 80%"":""https://www.rxpharmacycoupons.com/ezetimibe-coupon""
""Ezetimibe Discount Card & Coupons | Discount Drug Network"":""https://www.discountdrugnetwork.com/coupons/ezetimibe/""
""EZETIMIBE Coupons & Prices | RxSaver™"":""https://www.rxsaver.com/drugs/ezetimibe/coupons"""
us,ezetimibe 10 mg para que sirve,ezetimibe,,140,70.06,2.47,0.03,120000,"Featured Snippet, People Also Ask, Site Links","0.13,0.44,0.28,0.22,0.34,0.66,0.22,0.44,0.53,0.44,1.00,1.00",20,"""Ezetimibe: MedlinePlus Drug Information"":""https://medlineplus.gov/druginfo/meds/a603015.html""
""Efectos secundarios, imágenes, y detalles para el ... - Inside Rx"":""https://insiderx.com/es/drugs/zetia""
""Ezetimibe Uses, Dosage, Side Effects - Drugs.com"":""https://www.drugs.com/ezetimibe.html""
""ezetimibe 10 mg-simvastatin 10 mg tablet | Kaiser Permanente"":""https://espanol.kaiserpermanente.org/es/health-wellness/drug-encyclopedia/drug.ezetimibe-10-mg-simvastatin-10-mg-tablet.471135""
""prospecto ezetimiba aurovitas 10 mg comprimidos efg - CIMA"":""https://cima.aemps.es/cima/dochtml/p/82818/P_82818.html""
""1 de 9 Prospecto: información para el paciente ... - CIMA"":""http://cima.aemps.es/cima/pdfs/es/p/77541/77541_p.pdf""
""Ezetimiba: dosis, para que sirve, efectos secundarios"":""http://www.medizzine.com/pacientes/medicamentos/ezetimiba.php""
""Medicamento - Ezetimibe - Para que se toma y efectos ..."":""https://www.saludemia.com/-/medicamento-ezetimibe""
""Atorvastatina y ezetimiba 🥇 - Vademecum.es"":""https://www.vademecum.es/principios-activos-atorvastatina+y+ezetimiba-c10ba05""
""Ezetimiba - Wikipedia, la enciclopedia libre"":""https://es.wikipedia.org/wiki/Ezetimiba"""
us,ezetimiba simvastatina 10 20 mg para que sirve,ezetimibe,,90,71.84,0.00,0.03,67,"Featured Snippet, People Also Ask, Site Links","0.14,0.43,0.14,0.29,0.14,0.14,0.43,0.14,1.00,0.14,0.29,0.14",20,"""FICHA TECNICA EZETIMIBA/SIMVASTATINA STADA 10 MG ..."":""https://cima.aemps.es/cima/dochtml/ft/81810/FT_81810.html""
""Ezetimiba: MedlinePlus medicinas"":""https://medlineplus.gov/spanish/druginfo/meds/a603015-es.html""
""ezetimibe and simvastatin | Cigna"":""https://www.cigna.com/individuals-families/health-wellness/hw-en-espanol/medicamentos/ezetimibe-and-simvastatin-d05348a3""
""EZETIMIBA/SIMVASTATINA TEVA Comp. 10 mg/20 mg ..."":""https://www.vademecum.es/medicamento-ezetimiba%2Fsimvastatina+teva_prospecto_82154""
""Ezetimibe y simvastatin Información Española De la Droga"":""https://www.drugs.com/mtm_esp/ezetimibe-y-simvastatin.html""
""EZETIMIBA/SIMVASTATINA NORMON Comprimido (Comp ..."":""http://eurekasalud.es/prospecto-ezetimiba%2Fsimvastatina+normon+comp.+10+mg%2F20+mg-82472""
""Simvastatina, cuándo y cómo debemos tomarla - YouTube"":""https://www.youtube.com/watch?v=sjecq2ppahw""
""Beneficios del Ezetimibe en combinación con Simvastatina ..."":""https://www.intramed.net/33269""
""Efectos secundarios de las estatinas: considera los beneficios ..."":""https://www.mayoclinic.org/es-es/diseases-conditions/high-blood-cholesterol/in-depth/statin-side-effects/art-20046013""
""PROSPECTO: INFORMACIÓN PARA EL USUARIO VYTORIN ..."":""https://sinaem.agemed.es/DocumentosRAEFAR/2004/2004001218/2010022478/PH_PR_000.000.pdf"""
us,colmibe 10 10 atorvastatin ezetimibe,ezetimibe,,70,66.37,0.00,0.00,80,Image Pack,"0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",90,"""COLMIBE - Atorvastatina + Ezetimibe | Laboratorios RAFFO"":""https://www.raffo.com.ar/producto/colmibe/""
""COLMIBE® – Tecnofarma Chile"":""https://www.tecnofarma.cl/productos/colmibe/""
""COLMIBE 10/10 de Argentina 🥇 - Vademecum.es"":""https://www.vademecum.es/equivalencia-lista-colmibe+10%2F10-argentina-c10ba05-1434662-ar_1""
""Colmibe generic. Price of colmibe. Uses, Dosage, Side effects"":""https://www.ndrugs.com/?s=colmibe""
""COLMIBE ® Comprimidos - Manual Farmacoterapéutico"":""https://www.farmaciasahumada.cl/fasaonline/fasa/MFT/PRODUCTO/P12841.HTM""
""Atorvastatin/ezetimibe - Merck & Co - AdisInsight"":""https://adisinsight.springer.com/drugs/800026060""
""Colmibe - Información del medicamento, indicaciones, efectos ..."":""https://www.doctoraliar.com/medicamentos/colmibe""
""Ezetimibe-Atorvastatin Oral : Uses, Side Effects, Interactions ..."":""https://www.webmd.com/drugs/2/drug-164168/ezetimibe-atorvastatin-oral/details""
""Atorvastatin - Drugs.com"":""https://www.drugs.com/international/atorvastatin.html""
""Ezetimibe - Drugs.com"":""https://www.drugs.com/international/ezetimibe.html"""
us,ezetimiba atorvastatina generico,ezetimibe,,50,65.21,0.00,0.00,97500,"Image Pack, Site Links","0.14,0.14,0.14,0.14,0.00,0.14,1.00,0.14,0.14,0.29,0.14,0.00",20,"""Liptruzet, asociación de Ezetimibe y Atorvastatina, en un solo ..."":""https://sites.google.com/a/info-farmacia.com/info-farmacia/ultimas-publicaciones/liptruzetasociaciondeezetimibeyatorvastatinaenunsolopreparadofarmaceuticoparacontrolarelcolesterolelevado""
""PROSPECTO EZETIMIBA/ATORVASTATINA CINFAMED 10 ..."":""https://cima.aemps.es/cima/dochtml/p/84513/P_84513.html""
""FICHA TECNICA EZETIMIBA/ATORVASTATINA CINFAMED ..."":""https://cima.aemps.es/cima/dochtml/ft/84512/FT_84512.html""
""Atorvastatina y ezetimiba 🥇 - Vademecum.es"":""https://www.vademecum.es/principios-activos-atorvastatina+y+ezetimiba-c10ba05""
""atorvastatina + ezetimiba - MurciaSalud, el portal sanitario de ..."":""https://www.murciasalud.es/gftb.php?idsec=474&opt=ficha1&cod=C10BA05&area=1""
""Genéricos para Colesterol | Drogaria São Paulo"":""https://www.drogariasaopaulo.com.br/genericos/colesterol""
""Alternativas de bajo costo a algunos medicamentos de marca ..."":""https://www.consumerreports.org/es/salud/alternativas-de-bajo-costo/""
""No âmbito da avaliação do medicamento Renagel solicita-se ..."":""https://www.infarmed.pt/documents/15786/1424140/Atorvastatina%252BEzetimiba_Orvatez_Antidislipid%25E9micos_24062015.pdf/603d540b-177d-4ed1-bb36-6d5ca231f819""
""FDA aprova Associação Atorvastatina-Ezetimiba"":""https://www.diabetes.org.br/publico/colunas/43-dr-marcello-bertoluci/203-fda-aprova-associacao-atorvastatina-ezetimiba""
""Ezetimiba: MedlinePlus medicinas"":""https://medlineplus.gov/spanish/druginfo/meds/a603015-es.html"""
us,ezetimiba plm,ezetimibe,,50,56.89,0.00,0.00,38,Image Pack,"0.00,0.14,0.29,0.14,1.00,0.29,1.00,0.43,0.14,0.14,0.14,0.71",75,"""EXOTIB - PLM"":""https://www.medicamentosplm.com/Home/productos/exotib_tabletas/170/101/65044/210""
""EZETIMIBA - SIMVASTATINA - PLM"":""https://www.medicamentosplm.com/Home/productos/ezetimiba_simvastatina_tabletas/10/101/62151/210""
""ZIENT - PLM"":""https://www.medicamentosplm.com/Home/productos/zient_tabletas/166/101/10548/210""
""ATOZET® - PLM"":""https://www.medicamentosplm.com/Home/productos/atozet_tabletas/114/101/62234/210""
""Ezetimiba: MedlinePlus medicinas"":""https://medlineplus.gov/spanish/druginfo/meds/a603015-es.html""
""Simvastatina y ezetimiba 🥇 - Vademecum.es"":""https://www.vademecum.es/principios-activos-simvastatina+y+ezetimiba-c10ba02""
""Ezetimiba Simvastatina Mylan - Simvastatin Sandoz 20 Mg ..."":""https://www.jrxdiagnostics.com/ezetimiba-simvastatina-mylan-tezr""
""EZETROL_COMPRIMIDOS"":""https://medicamentosplmchile.com/productos/ezetrol_comprimidos.htm""
""Simvastatina Plm - What Is Novo-simvastatin Used For"":""https://www.ywam.sk/simvastatina-plm-vjcr""
""PROSPECTO EZETIMIBA/SIMVASTATINA STADA 10 MG/20 ..."":""https://cima.aemps.es/cima/dochtml/p/81810/P_81810.html"""
